region,sza_bin,chip_stem,ndwi_threshold,band_skipped,cloud_skipped,cloud_fraction,ic_skipped,ic_frac,water_px,iceberg_px,n_polygons,total_area_m2
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0768,0.0,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0768,0.05,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0768,0.1,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1024,-0.05,False,True,0.8637,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1024,0.0,False,True,0.8637,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1024,0.05,False,True,0.8637,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1024,0.1,False,True,0.8637,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1280,-0.05,False,True,0.761,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1280,0.0,False,True,0.761,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1280,0.05,False,True,0.761,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1280,0.1,False,True,0.761,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1536,-0.05,False,True,0.5462,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1536,0.0,False,True,0.5462,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1536,0.05,False,True,0.5462,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1536,0.1,False,True,0.5462,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1792,-0.05,False,False,0.0427,True,0.9730987548828125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1792,0.0,False,False,0.0427,True,0.9730987548828125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1792,0.05,False,False,0.0427,True,0.9730987548828125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1792,0.1,False,False,0.0427,True,0.9730987548828125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c2048,-0.05,False,False,0.0,True,0.5512542724609375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c2048,0.0,False,False,0.0,True,0.5512542724609375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c2048,0.05,False,False,0.0,True,0.5512542724609375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c2048,0.1,False,False,0.0,True,0.5512542724609375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0512,-0.05,False,True,0.9205,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0512,0.0,False,True,0.9205,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0512,0.05,False,True,0.9205,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0512,0.1,False,True,0.9205,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0768,-0.05,False,True,0.987,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0768,0.0,False,True,0.987,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0768,0.05,False,True,0.987,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0768,0.1,False,True,0.987,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1024,-0.05,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1024,0.0,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1024,0.05,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1024,0.1,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1280,-0.05,False,True,0.9719,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1280,0.0,False,True,0.9719,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1280,0.05,False,True,0.9719,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1280,0.1,False,True,0.9719,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1536,-0.05,False,True,0.9124,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1536,0.0,False,True,0.9124,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1536,0.05,False,True,0.9124,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1536,0.1,False,True,0.9124,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1792,-0.05,False,True,0.4954,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1792,0.0,False,True,0.4954,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1792,0.05,False,True,0.4954,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1792,0.1,False,True,0.4954,False,,0,0,0,0.0
